month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2020-01-01,Bronx,2,LCL/LTD,BX9,Off-Peak,10549.3125,1509,6.988962
2020-01-01,Bronx,2,LCL/LTD,BX9,Peak,4029.541,618,6.5157886
2020-01-01,Bronx,1,EXP,BXM1,Off-Peak,16360.404,1363,11.997451
2020-01-01,Bronx,1,EXP,BXM1,Peak,9922.118,944,10.507428
2020-01-01,Bronx,2,EXP,BXM1,Off-Peak,4032.4922,303,13.269784
2020-01-01,Bronx,2,EXP,BXM1,Peak,1730.02,133,12.941503
2020-01-01,Bronx,1,EXP,BXM10,Off-Peak,14105.499,1225,11.508798
2020-01-01,Bronx,1,EXP,BXM10,Peak,9432.414,948,9.946429
2020-01-01,Bronx,2,EXP,BXM10,Off-Peak,4139.832,307,13.442686
2020-01-01,Bronx,2,EXP,BXM10,Peak,1517.559,116,13.048783
2020-01-01,Bronx,1,EXP,BXM11,Off-Peak,12423.656,1024,12.123095
2020-01-01,Bronx,1,EXP,BXM11,Peak,9012.356,856,10.521194
2020-01-01,Bronx,2,EXP,BXM11,Off-Peak,3945.222,290,13.593433
2020-01-01,Bronx,2,EXP,BXM11,Peak,1482.934,111,13.301249
2020-01-01,Bronx,1,EXP,BXM18,Off-Peak,1456.963,122,11.845334
2020-01-01,Bronx,1,EXP,BXM18,Peak,3300.609,327,10.090716
2020-01-01,Bronx,2,EXP,BXM18,Off-Peak,35.111,2,14.439072
2020-01-01,Bronx,2,EXP,BXM18,Peak,70.229004,5,12.076637
2020-01-01,Bronx,1,EXP,BXM2,Off-Peak,14661.381,1209,12.122067
2020-01-01,Bronx,1,EXP,BXM2,Peak,6993.411,658,10.620192
2020-01-01,Bronx,2,EXP,BXM2,Off-Peak,4322.939,319,13.524623
2020-01-01,Bronx,2,EXP,BXM2,Peak,1755.459,131,13.321977
2020-01-01,Bronx,1,EXP,BXM3,Off-Peak,9138.38,777,11.758938
2020-01-01,Bronx,1,EXP,BXM3,Peak,5199.141,500,10.386493
2020-01-01,Bronx,2,EXP,BXM3,Off-Peak,2844.492,202,14.049457
2020-01-01,Bronx,2,EXP,BXM3,Peak,1025.228,76,13.327293
2020-01-01,Bronx,1,EXP,BXM4,Off-Peak,6153.912,622,9.883016
2020-01-01,Bronx,1,EXP,BXM4,Peak,3266.0142,375,8.689341
2020-01-01,Bronx,2,EXP,BXM4,Off-Peak,2272.138,199,11.364447
2020-01-01,Bronx,2,EXP,BXM4,Peak,843.503,77,10.93687
2020-01-01,Bronx,1,EXP,BXM6,Off-Peak,6302.562,503,12.526347
2020-01-01,Bronx,1,EXP,BXM6,Peak,4395.6143,422,10.39594
2020-01-01,Bronx,2,EXP,BXM6,Off-Peak,2596.223,175,14.803509
